[0. 0. 0.]
[  122.1825719  19978.86710436  1819.67687525]
[  122.17191738 19996.3963242   1819.68698873]
[  122.26048982 20142.11912888  1819.60291398]
[  122.21846651 20211.257501    1819.64280335]
[  122.11439715 20464.48106779  1819.80410514]
[  122.12372735 20487.18349349  1819.78964384]
[  122.07808701 20598.23643266  1819.86038385]
[  122.06179201 20644.80391921  1819.8887891 ]
[  122.05909345 20653.69205382  1819.8943066 ]
[  122.02455359 20758.49088303  1819.95271107]
[  122.00479733 20818.48154223  1819.98423373]
[  121.98628115 20882.44481892  1820.01807113]
[  121.9865592  20883.40530886  1820.01756302]
[  121.95157063 21004.27169815  1820.08150291]
[  121.9444289  21030.02260859  1820.09436701]
[  121.93230697 21078.1858204   1820.11788031]
[  121.9398659  21108.21920467  1820.103218  ]
[  121.94528344 21129.44528092  1820.09313181]
[  121.95226025 21161.37113244  1820.07826242]
[  121.95693046 21182.62490739  1820.06912319]
[  121.97526183 21257.47838671  1820.03803775]
[  121.98530059 21294.43694622  1820.02326538]
[  122.01377619 21433.10097481  1819.96789443]
[  122.04827147 21585.91550007  1819.91023584]
[  122.08860026 21759.73079528  1819.84923305]
[  122.04096023 21965.05723518  1819.9212951 ]
[  122.04160692 21967.84444157  1819.92031689]
[  122.02307518 22047.71541807  1819.94834867]
[  122.04605274 22146.74768356  1819.91359198]
[  122.04683226 22150.42199956  1819.91245217]
[  122.08305934 22340.2988557   1819.85497604]
[  122.09979441 22449.48279556  1819.83002048]
[  122.10002515 22450.96030717  1819.82971359]
[  122.10826915 22507.84715643  1819.81855464]
[  122.15413652 22838.24004455  1819.76030205]
[  122.15583611 22851.12245356  1819.75821762]
[  122.20295639 23220.83973814  1819.71306951]
[  122.20774515 23260.63863898  1819.70798792]
[  122.21005886 23280.66120601  1819.70572816]
[  122.21465163 23320.42333696  1819.70140253]
[  122.21063171 23355.22604362  1819.70518864]
[  122.20994271 23363.26307938  1819.70568882]
[  122.20417336 23437.9224907   1819.710378  ]
[  122.20161667 23473.84061928  1819.7126677 ]
[  122.19243783 23592.65690518  1819.7190453 ]
[  122.1907746  23615.41256536  1819.72019445]
[  122.18942529 23635.17432534  1819.72118531]
[  122.18450229 23712.63815038  1819.72477422]
[  122.17525169 23858.91889439  1819.73000035]
[  122.17168384 23921.06603085  1819.73211278]
[  122.18016373 24068.77429102  1819.72709207]
[  122.19145126 24271.08210609  1819.71978899]
[  122.20316787 24495.0246847   1819.71101738]
[  122.20349178 24502.22329307  1819.71073168]
[  122.19885957 24605.16968131  1819.71481746]
[  122.18372469 24948.86758958  1819.7284043 ]
[  122.18251902 24975.07273443  1819.7292734 ]
[  122.17369865 25200.21581612  1819.73640834]
[  122.17343526 25207.15798938  1819.73663258]
[  122.1771779  25305.80049666  1819.73344625]
[  122.17437551 25379.6613172   1819.73583209]
[  122.17168869 25459.37507886  1819.7384488 ]
[  122.17336679 25509.16155253  1819.73681449]
[  122.17787726 25661.25093924  1819.73176828]
[  122.18273008 25828.11363404  1819.72639766]
[  122.17695692 26026.62202264  1819.73278682]
[  122.17881965 26090.67136214  1819.73072534]
[  122.17998235 26131.0960004   1819.72948321]
[  122.17909297 26162.01776142  1819.73043334]
[  122.17617324 26320.46601244  1819.73514623]
[  122.17466074 26412.5590844   1819.73779139]
[  122.17263429 26540.4955248   1819.74148337]
[  122.17673089 26799.12812201  1819.73401976]
[  122.17662025 26901.44815115  1819.73106288]
[  122.17653414 26948.90837097  1819.72981713]
[  122.17667958 27029.07019551  1819.73192125]
[  122.17670544 27040.67904611  1819.73221208]
[  122.17679755 27065.58517844  1819.73278058]
[  122.17723438 27218.97789311  1819.73612187]
[  122.17712688 27256.72616113  1819.73529961]
[  122.17733361 27304.993964    1819.73454313]
[  122.17742302 27343.4089311   1819.73409393]
[  122.17770375 27430.19416484  1819.7331559 ]
[  122.17785018 27496.29914559  1819.73247948]
[  122.17787084 27502.67517482  1819.73241638]
[  122.17787474 27503.95502386  1819.7324041 ]
[  122.17788227 27506.73056569  1819.73237752]
[  122.17791125 27516.56337238  1819.73228556]
[  122.17681091 27889.84408377  1819.73577669]
[  122.17678064 27901.93166282  1819.73588988]
[  122.17672785 27922.78268231  1819.73607018]
[  122.17672066 27925.87376076  1819.73609626]
[  122.17678359 27952.93821201  1819.73586791]
[  122.17701668 28053.35766965  1819.73504945]
[  122.17668699 28195.39106507  1819.73620709]
[  122.17688902 28282.42687707  1819.7354977 ]
[  122.17706544 28344.70508885  1819.73502963]
